Sr.No.,Unnamed: 1,Technical name as per the Schema in Excel,Attribute name as per the JSON,for excel headers,for Upload file headers,Txn_Headers,Failed Txn,Failed_txn_for_excel,Pass Txn,Pass Txn Group By Columns,Pass_txn_for_excel,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
A.1.3.6,121.0,Discount_Amt_Invoice_Level,ValDtls.Discount,"'Discount_Amt_Invoice_Level',",Discount_Amt_Invoice_Level,"'ValDtlsDiscount',","'121|ValDtlsDiscount|Discount_Amt_Invoice_Level',ValDtlsDiscount,","ValDtlsDiscount,","'121|ValDtlsDiscount|Discount_Amt_Invoice_Level',ValDtlsDiscount,","ValDtlsDiscount,","ValDtlsDiscount,","Decimal (14,2)","maximum: 99999999999.99,""minimum"": 0",0,Optional
A.1.3.6,122.0,Other_Charges_Invoice_Level,ValDtls.OthChrg,"'Other_Charges_Invoice_Level',",Other_Charges_Invoice_Level,"'ValDtlsOthChrg',","'122|ValDtlsOthChrg|Other_Charges_Invoice_Level',ValDtlsOthChrg,","ValDtlsOthChrg,","'122|ValDtlsOthChrg|Other_Charges_Invoice_Level',ValDtlsOthChrg,","ValDtlsOthChrg,","ValDtlsOthChrg,","Decimal (14,2)","maximum: 99999999999.99,""minimum"": 0",0,Optional
A.1.3.7,123.0,Round_off_amount,ValDtls.RndOffAmt,"'Round_off_amount',",Round_off_amount,"'ValDtlsRndOffAmt',","'123|ValDtlsRndOffAmt|Round_off_amount',ValDtlsRndOffAmt,","ValDtlsRndOffAmt,","'123|ValDtlsRndOffAmt|Round_off_amount',ValDtlsRndOffAmt,","ValDtlsRndOffAmt,","ValDtlsRndOffAmt,","Decimal (4,2)","maximum: 9999.99,""minimum"": -999",,Optional
A.1.3.8,124.0,Total_Invoice_Value_INR,ValDtls.TotInvVal,"'Total_Invoice_Value_INR',",Total_Invoice_Value_INR,"'ValDtlsTotInvVal',","'124|ValDtlsTotInvVal|Total_Invoice_Value_INR',ValDtlsTotInvVal,","ValDtlsTotInvVal,","'124|ValDtlsTotInvVal|Total_Invoice_Value_INR',ValDtlsTotInvVal,","ValDtlsTotInvVal,","ValDtlsTotInvVal,","Decimal (13,2)","maximum: 99999999999.99,""minimum"": 0",5200,Mandatory
A.1.3.9,125.0,Total_Invoice_Value_FCNR,ValDtls.TotInvValFc,"'Total_Invoice_Value_FCNR',",Total_Invoice_Value_FCNR,"'ValDtlsTotInvValFc',","'125|ValDtlsTotInvValFc|Total_Invoice_Value_FCNR',ValDtlsTotInvValFc,","ValDtlsTotInvValFc,","'125|ValDtlsTotInvValFc|Total_Invoice_Value_FCNR',ValDtlsTotInvValFc,","ValDtlsTotInvValFc,","ValDtlsTotInvValFc,","Decimal (11,2)","maximum: 99999999999.99,""minimum"": 0",100,Optional
1A.1.3.10,126.0,Paid_Amount,PayDtls.PaidAmt,"'Paid_Amount',",Paid_Amount,"'PayDtlsPaidAmt',","'126|PayDtlsPaidAmt|Paid_Amount',PayDtlsPaidAmt,","PayDtlsPaidAmt,","'126|PayDtlsPaidAmt|Paid_Amount',PayDtlsPaidAmt,","PayDtlsPaidAmt,","PayDtlsPaidAmt,","Decimal(10,2)","maximum: 99999999999.99,""minimum"": 0",10000,Optional
A.1.3.11,127.0,Amount_due_for_payment,PayDtls.PaymtDue,"'Amount_due_for_payment',",Amount_due_for_payment,"'PayDtlsPaymtDue',","'127|PayDtlsPaymtDue|Amount_due_for_payment',PayDtlsPaymtDue,","PayDtlsPaymtDue,","'127|PayDtlsPaymtDue|Amount_due_for_payment',PayDtlsPaymtDue,","PayDtlsPaymtDue,","PayDtlsPaymtDue,","Decimal(10,2)","maximum: 99999999999.99,""minimum"": 0",1900-04-20 00:00:00,Optional
A.1.4.1,128.0,Batch_Name,ItemList.BchDtls.Nm,"'Batch_Name',",Batch_Name,"'ItemListBchDtlsNm',","'128|ItemListBchDtlsNm|Batch_Name',ItemListBchDtlsNm,","ItemListBchDtlsNm,","'128|ItemListBchDtlsNm|Batch_Name',MAX(ItemListBchDtlsNm),",,"MAX(ItemListBchDtlsNm),",String(20),"minLength: 3,""maxLength"": 20,",LOT11,Mandatory
A.1.4.2,129.0,Batch_Expiry_ Date,ItemList.BchDtls.ExpDt,"'Batch_Expiry_ Date',",Batch_Expiry_ Date,"'ItemListBchDtlsExpDt',","'129|ItemListBchDtlsExpDt|Batch_Expiry_Date',ItemListBchDtlsExpDt,","ItemListBchDtlsExpDt,","'129|ItemListBchDtlsExpDt|Batch_Expiry_Date',MAX(ItemListBchDtlsExpDt),",,"MAX(ItemListBchDtlsExpDt),",String(10),DD/MM/YYYY,  21/11/2019,Optional
A.1.4.3,130.0,Warranty_Date,ItemList.BchDtls.WrDt,"'Warranty_Date',",Warranty_Date,"'ItemListBchDtlsWrDt',","'130|ItemListBchDtlsWrDt|Warranty_Date',ItemListBchDtlsWrDt,","ItemListBchDtlsWrDt,","'130|ItemListBchDtlsWrDt|Warranty_Date',MAX(ItemListBchDtlsWrDt),",,"MAX(ItemListBchDtlsWrDt),",String(10),DD/MM/YYYY,  21/11/2019,Optional
A.1.5.1,131.0,Attribute_Name,ItemList.AttribDtls.Nm,"'Attribute_Name',",Attribute_Name,"'ItemListAttribDtlsNm',","'131|ItemListAttribDtlsNm|Attribute_Name',ItemListAttribDtlsNm,","ItemListAttribDtlsNm,","'131|ItemListAttribDtlsNm|Attribute_Name',MAX(ItemListAttribDtlsNm),",,"MAX(ItemListAttribDtlsNm),",String(100),"minLength: 3,""maxLength"": 100,",Color,Optional
A.1.5.2,132.0,Attribute_Value,ItemList.AttribDtls.Val,"'Attribute_Value',",Attribute_Value,"'ItemListAttribDtlsVal',","'132|ItemListAttribDtlsVal|Attribute_Value',ItemListAttribDtlsVal,","ItemListAttribDtlsVal,","'132|ItemListAttribDtlsVal|Attribute_Value',MAX(ItemListAttribDtlsVal),",,"MAX(ItemListAttribDtlsVal),",String(100),"minLength: 3,""maxLength"": 100,","Red, green, etc",Optional
